"hcpcs_code","hcpcs_description"
"96375","Tx/pro/dx inj new drug addon"
"96417","Chemo iv infus each addl seq"
"J1200","Diphenhydramine hcl injectio"
"J1750","Inj iron dextran"
"J1756","Iron sucrose injection"
"J2405","Ondansetron hcl injection"
"J2469","Palonosetron hcl"
"J2820","Sargramostim injection"
"J7030","Normal saline solution infus"
"93965","Extremity study"
"99335","Domicil/r-home visit est pat"
"29240","Strapping of shoulder"
"29530","Strapping of knee"
"90807","Psytx off 45-50 min w/e&m"
"80047","Metabolic panel ionized ca"
"87071","Culture bacteri aerobic othr"
"87077","Culture aerobic identify"
"87186","Microbe susceptible mic"
"92082","Visual field examination(s)"
"67043","Vit for membrane dissect"
"67105","Repair detached retina"
"67112","Rerepair detached retina"
"J9035","Bevacizumab injection"
"01462","Anesth lower leg procedure"
"14061","Skin tissue rearrangement"
"81005","Urinalysis"
"38525","Biopsy/removal lymph nodes"
"38900","Io map of sent lymph node"
"70547","Mr angiography neck w/o dye"
"78300","Bone imaging limited area"
"G0436","Tobacco-use counsel 3-10 min"
"82306","Vitamin d 25 hydroxy"
"82550","Assay of ck (cpk)"
"82746","Blood folic acid serum"
"83721","Assay of blood lipoprotein"
"84403","Assay of total testosterone"
"85027","Complete cbc automated"
"67228","Treatment of retinal lesion"
"95930","Visual evoked potential test"
"95810","Polysomnography 4 or more"
"G0403","EKG for initial prevent exam"
"43259","Endoscopic ultrasound exam"
"45381","Colonoscopy submucous inj"
"27193","Treat pelvic ring fracture"
"70360","X-ray exam of neck"
"70371","Speech evaluation complex"
"92611","Motion fluoroscopy/swallow"
"82274","Assay test for blood fecal"
"69990","Microsurgery add-on"
"82270","Occult blood feces"
"00912","Anesth bladder tumor surg"
"90818","Psytx hosp 45-50 min"
"99325","Domicil/r-home visit new pat"
"99334","Domicil/r-home visit est pat"
"73600","X-ray exam of ankle"
"90816","Psytx hosp 20-30 min"
"93290","Icm device eval"
"97150","Group therapeutic procedures"
"87430","Strep a ag eia"
"94200","Lung function test (MBC/MVV)"
"72114","X-ray exam of lower spine"
"72197","Mri pelvis w/o & w/dye"
"74170","Ct abdomen w/o & w/dye"
"92081","Visual field examination(s)"
"93017","Cardiovascular stress test"
"94375","Respiratory flow volume loop"
"94681","Exhaled air analysis o2/co2"
"11000","Debride infected skin"
"29540","Strapping of ankle and/or ft"
"J1020","Methylprednisolone 20 MG inj"
"97802","Medical nutrition indiv in"
"G0270","MNT subs tx for change dx"
"99328","Domicil/r-home visit new pat"
"99337","Domicil/r-home visit est pat"
"99350","Home visit est patient"
"99345","Home visit new patient"
"97024","Diathermy eg microwave"
"92604","Reprogram cochlear implt 7 >"
"92626","Eval aud rehab status"
"92627","Eval aud status rehab add-on"
"96118","Neuropsych tst by psych/phys"
"12001","Repair superficial wound(s)"
"12002","Repair superficial wound(s)"
"96150","Assess hlth/behave init"
"96152","Intervene hlth/behave indiv"
"37225","Fem/popl revas w/ather"
"37227","Fem/popl revasc stnt & ather"
"37229","Tib/per revasc w/ather"
"97803","Med nutrition indiv subseq"
"72010","X-ray exam of spine"
"87801","Detect agnt mult dna ampli"
"J9217","Leuprolide acetate suspnsion"
"88141","Cytopath c/v interpret"
"88161","Cytopath smear other source"
"G0124","Screen c/v thin layer by MD"
"P3000","Screen pap by tech w md supv"
"00410","Anesth correct heart rhythm"
"00902","Anesth anorectal surgery"
"99235","Observ/hosp same date"
"88106","Cytopath fl nongyn filter"
"88319","Enzyme histochemistry"
"88332","Path consult intraop addl"
"99318","Annual nursing fac assessmnt"
"94660","Pos airway pressure cpap"
"G0166","Extrnl counterpulse, per tx"
"17250","Chemical cautery tissue"
"29580","Application of paste boot"
"36245","Ins cath abd/l-ext art 1st"
"36247","Ins cath abd/l-ext art 3rd"
"36248","Ins cath abd/l-ext art addl"
"36870","Percut thrombect av fistula"
"37204","Transcatheter occlusion"
"75625","Contrast x-ray exam of aorta"
"75710","Artery x-rays arm/leg"
"75726","Artery x-rays abdomen"
"75774","Artery x-ray each vessel"
"75791","Av dialysis shunt imaging"
"75894","X-rays transcath therapy"
"75898","Follow-up angiography"
"51700","Irrigation of bladder"
"92286","Internal eye photography"
"00635","Anesth lumbar puncture"
"43644","Lap gastric bypass/roux-en-y"
"28285","Repair of hammertoe"
"67040","Laser treatment of retina"
"67041","Vit for macular pucker"
"67108","Repair detached retina"
"67113","Repair retinal detach cplx"
"19102","Bx breast percut w/image"
"92585","Auditor evoke potent compre"
"92588","Evoked auditory tst complete"
"92553","Audiometry air & bone"
"15271","Skin sub graft trnk/arm/leg"
"99281","Emergency dept visit"
"93979","Vascular study"
"83912","Genetic examination"
"84165","Protein e-phoresis serum"
"84166","Protein e-phoresis/urine/csf"
"85576","Blood platelet aggregation"
"86325","Other immunoelectrophoresis"
"86334","Immunofix e-phoresis serum"
"88333","Intraop cyto path consult 1"
"31579","Diagnostic laryngoscopy"
"92541","Spontaneous nystagmus test"
"92542","Positional nystagmus test"
"92543","Caloric vestibular test"
"92545","Oscillating tracking test"
"92546","Sinusoidal rotational test"
"00873","Anesth kidney stone destruct"
"01830","Anesth lower arm surgery"
"33405","Replacement of aortic valve"
"33518","Cabg artery-vein two"
"A9576","Inj prohance multipack"
"77075","X-rays bone survey complete"
"82272","Occult bld feces 1-3 tests"
"22600","Neck spine fusion"
"36514","Apheresis plasma"
"86077","Physician blood bank service"
"86335","Immunfix e-phorsis/urine/csf"
"82553","Creatine mb fraction"
"83874","Assay of myoglobin"
"84484","Assay of troponin quant"
"85379","Fibrin degradation quant"
"88175","Cytopath c/v auto fluid redo"
"G0145","Scr c/v cyto,thinlayer,rescr"
"77421","Stereoscopic x-ray guidance"
"77470","Special radiation treatment"
"78707","K flow/funct image w/o drug"
"93924","Lwr xtr vasc stdy bilat"
"93978","Vascular study"
"93990","Doppler flow testing"
"64612","Destroy nerve face muscle"
"64613","Destroy nerve neck muscle"
"95970","Analyze neurostim no prog"
"95978","Analyze neurostim brain/1h"
"J0585","Injection,onabotulinumtoxinA"
"64614","Destroy nerve extrem musc"
"95874","Guide nerv destr needle emg"
"85652","Rbc sed rate automated"
"86140","C-reactive protein"
"65780","Ocular reconst transplant"
"66761","Revision of iris"
"95806","Sleep study unatt&resp efft"
"90962","Esrd serv 1 visit p mo 20+"
"64405","N block inj occipital"
"92544","Optokinetic nystagmus test"
"92548","Posturography"
"95864","Muscle test 4 limbs"
"95873","Guide nerv destr elec stim"
"96116","Neurobehavioral status exam"
"92547","Supplemental electrical test"
"92584","Electrocochleography"
"A0431","Rotary wing air transport"
"A0436","Rotary wing air mileage"
"92625","Tinnitus assessment"
"74175","Ct angio abdom w/o & w/dye"
"75635","Ct angio abdominal arteries"
"82627","Dehydroepiandrosterone"
"82670","Assay of estradiol"
"83001","Gonadotropin (FSH)"
"84144","Assay of progesterone"
"84480","Assay triiodothyronine (t3)"
"84550","Assay of blood/uric acid"
"86003","Allergen specific IgE"
"86038","Antinuclear antibodies"
"86430","Rheumatoid factor test"
"86704","Hep b core antibody total"
"86706","Hep b surface antibody"
"86708","Hep a antibody total"
"86803","Hepatitis c ab test"
"87340","Hepatitis b surface ag eia"
"95165","Antigen therapy services"
"J2920","Methylprednisolone injection"
"J7040","Normal saline solution infus"
"J7611","Albuterol non-comp con"
"92950","Heart/lung resuscitation cpr"
"95861","Muscle test 2 limbs"
"51729","Cystometrogram w/vp&up"
"29824","Shoulder arthroscopy/surgery"
"64718","Revise ulnar nerve at elbow"
"99201","Office/outpatient visit new"
"92270","Electro-oculography"
"86141","C-reactive protein hs"
"95885","Musc tst done w/nerv tst lim"
"47505","Injection for liver x-rays"
"50398","Change kidney tube"
"73706","Ct angio lwr extr w/o&w/dye"
"75984","Xray control catheter change"
"29550","Strapping of toes"
"99326","Domicil/r-home visit new pat"
"82042","Assay of urine albumin"
"82150","Assay of amylase"
"82378","Carcinoembryonic antigen"
"82575","Creatinine clearance test"
"82950","Glucose test"
"83690","Assay of lipase"
"85730","Thromboplastin time partial"
"87070","Culture bacteria other"
"P9604","One-way allow prorated trip"
"92563","Tone decay hearing test"
"98926","Osteopathic manipulation"
"98927","Osteopathic manipulation"
"98928","Osteopathic manipulation"
"11980","Implant hormone pellet(s)"
"51720","Treatment of bladder lesion"
"54235","Penile injection"
"93980","Penile vascular study"
"J2440","Papaverin hcl injection"
"J2760","Phentolaine mesylate inj"
"J9031","Bcg live intravesical vac"
"23472","Reconstruct shoulder joint"
"73120","X-ray exam of hand"
"28230","Incision of foot tendon(s)"
"28234","Incision of foot tendon"
"76857","Us exam pelvic limited"
"40812","Excise/repair mouth lesion"
"86039","Antinuclear antibodies (ANA)"
"86160","Complement antigen"
"86200","Ccp antibody"
"86225","DNA antibody"
"86235","Nuclear antigen antibody"
"86431","Rheumatoid factor quant"
"57288","Repair bladder defect"
"90966","Esrd home pt serv p mo 20+"
"90970","Esrd home pt serv p day 20+"
"01930","Anes ther interven rad vei"
"69433","Create eardrum opening"
"97760","Orthotic mgmt and training"
"93279","Pm device progr eval sngl"
"32674","Thoracoscopy lymph node exc"
"00797","Anesth surgery for obesity"
"97750","Physical performance test"
"90847","Family psytx w/patient"
"96119","Neuropsych testing by tec"
"29405","Apply short leg cast"
"29515","Application lower leg splint"
"Q4038","Cast sup shrt leg fiberglass"
"70220","X-ray exam of sinuses"
"70250","X-ray exam of skull"
"71110","X-ray exam of ribs"
"73660","X-ray exam of toe(s)"
"Q0092","Set up port xray equipment"
"R0070","Transport portable x-ray"
"R0075","Transport port x-ray multipl"
"88104","Cytopath fl nongyn smears"
"86318","Immunoassay infectious agent"
"93226","Ecg monit/reprt up to 48 hrs"
"93701","Bioimpedance cv analysis"
"95921","Autonomic nerv function test"
"95922","Autonomic nerv function test"
"99354","Prolonged service office"
"99355","Prolonged service office"
"J2010","Lincomycin injection"
"J2300","Inj nalbuphine hydrochloride"
"88365","Insitu hybridization (fish)"
"93270","Remote 30 day ecg rev/report"
"93293","Pm phone r-strip device eval"
"93294","Pm device interrogate remote"
"A9502","Tc99m tetrofosmin"
"G0250","MD INR test revie inter mgmt"
"J0461","Atropine sulfate injection"
"68840","Explore/irrigate tear ducts"
"83880","Natriuretic peptide"
"77078","Ct bone density axial"
"78472","Gated heart planar single"
"78816","Pet image w/ct full body"
"95860","Muscle test one limb"
"38724","Removal of lymph nodes neck"
"43200","Esophagus endoscopy"
"82055","Assay of ethanol"
"36410","Non-routine bl draw > 3 yrs"
"93352","Admin ecg contrast agent"
"69801","Incise inner ear"
"92504","Ear microscopy examination"
"95028","Id allergy test-delayed type"
"93453","R&l hrt cath w/ventriclgrphy"
"36581","Replace tunneled cv cath"
"62270","Spinal fluid tap diagnostic"
"11045","Deb subq tissue add-on"
"99183","Hyperbaric oxygen therapy"
"J2780","Ranitidine hydrochloride inj"
"29820","Shoulder arthroscopy/surgery"
"92555","Speech threshold audiometry"
"01991","Anesth nerve block/inj"
"G0108","Diab manage trn  per indiv"
"10140","Drainage of hematoma/fluid"
"11305","Shave skin lesion"
"11732","Remove nail plate add-on"
"J0945","Brompheniramine maleate inj"
"23412","Repair rotator cuff chronic"
"26160","Remove tendon sheath lesion"
"29823","Shoulder arthroscopy/surgery"
"29876","Knee arthroscopy/surgery"
"78454","Ht musc image planar mult"
"83701","Lipoprotein bld hr fraction"
"83704","Lipoprotein bld by nmr"
"84478","Assay of triglycerides"
"94664","Evaluate pt use of inhaler"
"J2001","Lidocaine injection"
"01630","Anesth surgery of shoulder"
"00404","Anesth surgery of breast"
"29520","Strapping of hip"
"87400","Influenza a/b ag eia"
"J3302","Triamcinolone diacetate inj"
"01112","Anesth bone aspirate/bx"
"74410","Contrst x-ray urinary tract"
"M0064","Visit for drug monitoring"
"33508","Endoscopic vein harvest"
"33519","Cabg artery-vein three"
"83719","Assay of blood lipoprotein"
"G0182","Hospice care supervision"
"45330","Diagnostic sigmoidoscopy"
"46221","Ligation of hemorrhoid(s)"
"11043","Deb musc/fascia 20 sq cm/<"
"12020","Closure of split wound"
"12021","Closure of split wound"
"88368","Insitu hybridization manual"
"15823","Revision of upper eyelid"
"99327","Domicil/r-home visit new pat"
"17271","Destruction of skin lesions"
"87220","Tissue exam for fungi"
"86677","Helicobacter pylori"
"J1080","Testosterone cypionat 200 MG"
"20926","Removal of tissue for graft"
"30140","Resect inferior turbinate"
"30520","Repair of nasal septum"
"31255","Removal of ethmoid sinus"
"31267","Endoscopy maxillary sinus"
"31276","Sinus endoscopy surgical"
"49650","Lap ing hernia repair init"
"52204","Cystoscopy w/biopsy(s)"
"52240","Cystoscopy and treatment"
"64479","Inj foramen epidural c/t"
"64480","Inj foramen epidural add-on"
"00144","Anesth corneal transplant"
"93283","Icd device progr eval dual"
"93295","Icd device interrogat remote"
"93296","Pm/icd remote tech serv"
"93307","Tte w/o doppler complete"
"36590","Removal tunneled cv cath"
"00530","Anesth pacemaker insertion"
"00534","Anesth cardioverter/defib"
"94003","Vent mgmt inpat subq day"
"11402","Exc tr-ext b9+marg 1.1-2 cm"
"93888","Intracranial study"
"J7614","Levalbuterol non-comp unit"
"19301","Partical mastectomy"
"83090","Assay of homocystine"
"83655","Assay of lead"
"83695","Assay of lipoprotein(a)"
"83891","Molecule isolate nucleic"
"83892","Molecular diagnostics"
"83894","Molecule gel electrophor"
"83898","Molecule nucleic ampli each"
"83921","Organic acid single quant"
"84446","Assay of vitamin e"
"85306","Blood clot inhibitor test"
"86147","Cardiolipin antibody"
"86592","Syphilis test non-trep qual"
"78451","Ht muscle image spect sing"
"11303","Shave skin lesion"
"14001","Skin tissue rearrangement"
"14020","Skin tissue rearrangement"
"14021","Skin tissue rearrangement"
"14040","Skin tissue rearrangement"
"14041","Skin tissue rearrangement"
"95951","EEG monitoring/videorecord"
"95953","EEG monitoring/computer"
"81015","Microscopic exam of urine"
"83890","Molecule isolate"
"83896","Molecular diagnostics"
"83900","Molecule nucleic ampli 2 seq"
"83901","Molecule nucleic ampli addon"
"83914","Mutation ident ola/sbce/aspe"
"49560","Rpr ventral hern init reduc"
"72080","X-ray exam of trunk spine"
"64550","Apply neurostimulator"
"97016","Vasopneumatic device therapy"
"51725","Simple cystometrogram"
"97004","Ot re-evaluation"
"88361","Tumor immunohistochem/comput"
"36140","Establish access to artery"
"36821","Av fusion direct any site"
"36830","Artery-vein nonautograft"
"47563","Laparo cholecystectomy/graph"
"46600","Diagnostic anoscopy"
"77333","Radiation treatment aid(s)"
"77413","Radiation treatment delivery"
"77414","Radiation treatment delivery"
"77417","Radiology port film(s)"
"75716","Artery x-rays arms/legs"
"00126","Anesth tympanotomy"
"00920","Anesth genitalia surgery"
"00952","Anesth hysteroscope/graph"
"99324","Domicil/r-home visit new pat"
"J0725","Chorionic gonadotropin/1000u"
"33228","Remv&replc pm gen dual lead"
"93041","Rhythm ecg tracing"
"93281","Pm device progr eval multi"
"A9505","TL201 thallium"
"90870","Electroconvulsive therapy"
"63042","Laminotomy single lumbar"
"93271","Ecg/monitoring and analysis"
"43262","Endo cholangiopancreatograph"
"44361","Small bowel endoscopy/biopsy"
"45384","Lesion remove colonoscopy"
"91065","Breath hydrogen test"
"67800","Remove eyelid lesion"
"67801","Remove eyelid lesions"
"67840","Remove eyelid lesion"
"67904","Repair eyelid defect"
"67917","Repair eyelid defect"
"67924","Repair eyelid defect"
"68720","Create tear sac drain"
"68801","Dilate tear duct opening"
"68810","Probe nasolacrimal duct"
"55876","Place rt device/marker pros"
"69436","Create eardrum opening"
"51600","Injection for bladder x-ray"
"51715","Endoscopic injection/implant"
"53445","Insert uro/ves nck sphincter"
"53899","Urology surgery procedure"
"74430","Contrast x-ray bladder"
"74455","X-ray urethra/bladder"
"L8606","Synthetic implnt urinary 1ml"
"92140","Glaucoma provocative tests"
"95115","Immunotherapy one injection"
"32551","Insertion of chest tube"
"36005","Injection ext venography"
"49180","Biopsy abdominal mass"
"49440","Place gastrostomy tube perc"
"51102","Drain bl w/cath insertion"
"60100","Biopsy of thyroid"
"74305","X-ray bile ducts/pancreas"
"75820","Vein x-ray arm/leg"
"76080","X-ray exam of fistula"
"76380","CAT scan follow-up study"
"77321","Special teletx port plan"
"77331","Special radiation dosimetry"
"75565","Card mri veloc flow mapping"
"43245","Uppr gi scope dilate strictr"
"43846","Gastric bypass for obesity"
"44120","Removal of small intestine"
"44955","Appendectomy add-on"
"47001","Needle biopsy liver add-on"
"47600","Removal of gallbladder"
"31502","Change of windpipe airway"
"91110","Gi tract capsule endoscopy"
"64449","N block inj lumbar plexus"
"92060","Special eye evaluation"
"52005","Cystoscopy & ureter catheter"
"86294","Immunoassay tumor qual"
"J1070","Testosterone cypionat 100 MG"
"31237","Nasal/sinus endoscopy surg"
"69220","Clean out mastoid cavity"
"36591","Draw blood off venous device"
"80051","Electrolyte panel"
"82040","Assay of serum albumin"
"82232","Assay of beta-2 protein"
"82247","Bilirubin total"
"84075","Assay alkaline phosphatase"
"86300","Immunoassay tumor ca 15-3"
"86304","Immunoassay tumor ca 125"
"96360","Hydration iv infusion init"
"96523","Irrig drug delivery device"
"99195","Phlebotomy"
"J1626","Granisetron hcl injection"
"J3475","Inj magnesium sulfate"
"J9201","Gemcitabine hcl injection"
"33213","Insert pulse gen dual leads"
"33225","L ventric pacing lead add-on"
"33233","Removal of pm generator"
"33240","Insrt pulse gen w/singl lead"
"33249","Nsert pace-defib w/lead"
"93282","Icd device prog eval 1 sngl"
"93284","Icd device progr eval mult"
"93289","Icd device interrogate"
"93462","L hrt cath trnsptl puncture"
"93623","Stimulation pacing heart"
"93641","Electrophysiology evaluation"
"93650","Ablate heart dysrhythm focus"
"93651","Ablate heart dysrhythm focus"
"93660","Tilt table evaluation"
"93662","Intracardiac ecg (ice)"
"88360","Tumor immunohistochem/manual"
"88363","Xm archive tissue molec anal"
"43228","Esoph endoscopy ablation"
"43258","Operative upper GI endoscopy"
"45382","Colonoscopy/control bleeding"
"45383","Lesion removal colonoscopy"
"19290","Place needle wire breast"
"74328","X-ray bile duct endoscopy"
"74330","X-ray bile/panc endoscopy"
"77032","Guidance for needle breast"
"77081","Dxa bone density/peripheral"
"J1000","Depo-estradiol cypionate inj"
"Q0111","Wet mounts/ w preparations"
"G0127","Trim nail(s)"
"J9310","Rituximab injection"
"J2175","Meperidine hydrochl /100 MG"
"33207","Insert heart pm ventricular"
"93287","Pre-op icd device eval"
"87184","Microbe susceptible disk"
"82784","Assay iga/igd/igg/igm each"
"90911","Biofeedback peri/uro/rectal"
"71022","Chest x-ray"
"82977","Assay of GGT"
"84466","Assay of transferrin"
"74210","Contrst x-ray exam of throat"
"74261","Ct colonography dx"
"C9257","Bevacizumab injection"
"Q0112","Potassium hydroxide preps"
"95936","H-reflex test"
"00566","Anesth cabg w/o pump"
"82465","Assay bld/serum cholesterol"
"90670","Pneumococcal vacc 13 val im"
"92568","Acoustic refl threshold tst"
"95957","EEG digital analysis"
"90654","Flu vaccine no preserv id"
"36200","Place catheter in aorta"
"76950","Echo guidance radiotherapy"
"70210","X-ray exam of sinuses"
"84134","Assay of prealbumin"
"85007","Bl smear w/diff wbc count"
"85046","Reticyte/hgb concentrate"
"85536","Iron stain peripheral blood"
"96368","Ther/diag concurrent inf"
"J1940","Furosemide injection"
"36571","Insert picvad cath"
"J1644","Inj heparin sodium per 1000u"
"36471","Injection therapy of veins"
"36478","Endovenous laser 1st vein"
"37765","Stab phleb veins xtr 10-20"
"37766","Phleb veins - extrem 20+"
"J0152","Adenosine injection"
"29425","Apply short leg cast"
"96411","Chemo iv push addl drug"
"J1642","Inj heparin sodium per 10 u"
"J2505","Injection, pegfilgrastim 6mg"
"J3480","Inj potassium chloride"
"J9045","Carboplatin injection"
"J9190","Fluorouracil injection"
"Q0138","Ferumoxytol, non-esrd"
"85013","Spun microhematocrit"
"01270","Anesth thigh arteries surg"
"J3303","Triamcinolone hexacetonl inj"
"93786","Ambulatory BP recording"
"93788","Ambulatory BP analysis"
"93790","Review/report BP recording"
"G0444","Depression screen annual"
"49507","Prp i/hern init block >5 yr"
"36595","Mech remov tunneled cv cath"
"37205","Transcath iv stent percut"
"75827","Vein x-ray chest"
"75960","Transcath iv stent rs&i"
"75962","Repair arterial blockage"
"A9585","Gadobutrol injection"
"78007","Thyroid image mult uptakes"
"78070","Parathyroid nuclear imaging"
"78278","Acute GI blood loss imaging"
"78607","Brain imaging (3D)"
"78708","K flow/funct image w/drug"
"78803","Tumor imaging (3D)"
"78806","Abscess imaging whole body"
"A9503","Tc99m medronate"
"A9516","Iodine I-123 sod iodide mic"
"A9537","Tc99m mebrofenin"
"A9562","Tc99m mertiatide"
"J2805","Sincalide injection"
"78812","Pet image skull-thigh"
"J0881","Darbepoetin alfa, non-esrd"
"J1720","Hydrocortisone sodium succ i"
"J3487","Zoledronic acid"
"J9070","Cyclophosphamide 100 MG inj"
"Q9965","LOCM 100-199mg/ml iodine,1ml"
"70100","X-ray exam of jaw"
"70310","X-ray exam of teeth"
"94750","Pulmonary compliance study"
"51703","Insert bladder cath complex"
"64633","Destroy cerv/thor facet jnt"
"64634","Destroy c/th facet jnt addl"
"99149","Mod cs diff phys 5 yrs +"
"99150","Mod cs diff phys add-on"
"34812","Xpose for endoprosth femorl"
"34825","Endovasc extend prosth init"
"36565","Insert tunneled cv cath"
"36818","Av fuse uppr arm cephalic"
"37226","Fem/popl revasc w/stent"
"G0102","Prostate ca screening; dre"
"74249","Contrst x-ray uppr gi tract"
"45331","Sigmoidoscopy and biopsy"
"J0692","Cefepime HCl for injection"
"J0878","Daptomycin injection"
"J1335","Ertapenem injection"
"J3370","Vancomycin hcl injection"
"94002","Vent mgmt inpat init day"
"94621","Pulm stress test/complex"
"58571","Tlh w/t/o 250 g or less"
"G0405","EKG interpret & report preve"
"70355","Panoramic x-ray of jaws"
"70490","Ct soft tissue neck w/o dye"
"72126","Ct neck spine w/dye"
"72156","Mri neck spine w/o & w/dye"
"72265","Contrast x-ray lower spine"
"20225","Bone biopsy trocar/needle"
"71111","X-ray exam of ribs/chest"
"73200","Ct upper extremity w/o dye"
"73722","Mri joint of lwr extr w/dye"
"74400","Contrst x-ray urinary tract"
"77056","Mammogram both breasts"
"25600","Treat fracture radius/ulna"
"11422","Exc h-f-nk-sp b9+marg 1.1-2"
"70480","Ct orbit/ear/fossa w/o dye"
"70546","Mr angiograph head w/o&w/dye"
"72157","Mri chest spine w/o & w/dye"
"77011","Ct scan for localization"
"A9577","Inj multihance"
"J1459","Inj IVIG privigen 500 mg"
"J1740","Ibandronate sodium injection"
"J1956","Levofloxacin injection"
"J2060","Lorazepam injection"
"J2430","Pamidronate disodium /30 MG"
"73223","Mri joint upr extr w/o&w/dye"
"73720","Mri lwr extremity w/o&w/dye"
"73723","Mri joint lwr extr w/o&w/dye"
"82668","Assay of erythropoietin"
"83010","Assay of haptoglobin quant"
"83883","Assay nephelometry not spec"
"86301","Immunoassay tumor ca 19-9"
"96409","Chemo iv push sngl drug"
"96521","Refill/maint portable pump"
"J0641","Levoleucovorin injection"
"J1441","Filgrastim 480 mcg injection"
"J1652","Fondaparinux sodium"
"J2357","Omalizumab injection"
"J3315","Triptorelin pamoate"
"J7042","5% dextrose/normal saline"
"J9025","Azacitidine injection"
"J9033","Bendamustine injection"
"J9041","Bortezomib injection"
"J9060","Cisplatin 10 MG injection"
"J9171","Docetaxel injection"
"J9181","Etoposide injection"
"J9263","Oxaliplatin"
"J9265","Paclitaxel injection"
"J9305","Pemetrexed injection"
"J9355","Trastuzumab injection"
"51610","Injection for bladder x-ray"
"54161","Circum 28 days or older"
"19120","Removal of breast lesion"
"19125","Excision breast lesion"
"J3120","Testosterone enanthate inj"
"76516","Echo exam of eye"
"93931","Upper extremity study"
"88367","Insitu hybridization auto"
"17263","Destruction of skin lesions"
"78018","Thyroid met imaging body"
"77416","Radiation treatment delivery"
"76811","Ob us detailed sngl fetus"
"88120","Cytp urne 3-5 probes ea spec"
"84132","Assay of serum potassium"
"27137","Revise hip joint replacement"
"27446","Revision of knee joint"
"27487","Revise/replace knee joint"
"77071","X-ray stress view"
"86580","TB intradermal test"
"76881","Us xtr non-vasc complete"
"92132","Cmptr ophth dx img ant segmt"
"94667","Chest wall manipulation"
"J2323","Natalizumab injection"
"82271","Occult blood other sources"
"93297","Icm device interrogat remote"
"93299","Icm/ilr remote tech serv"
"80156","Assay carbamazepine total"
"80158","Assay of cyclosporine"
"80162","Assay of digoxin"
"80164","Assay dipropylacetic acid"
"80170","Assay of gentamicin"
"80185","Assay of phenytoin total"
"80186","Assay of phenytoin free"
"80197","Assay of tacrolimus"
"80200","Assay of tobramycin"
"80202","Assay of vancomycin"
"82088","Assay of aldosterone"
"82105","Alpha-fetoprotein serum"
"82140","Assay of ammonia"
"82374","Assay blood carbon dioxide"
"82435","Assay of blood chloride"
"82533","Total cortisol"
"82552","Assay of cpk in blood"
"82747","Assay of folic acid rbc"
"82985","Glycated protein"
"83020","Hemoglobin electrophoresis"
"83516","Immunoassay nonantibody"
"83718","Assay of lipoprotein"
"84080","Assay alkaline phosphatases"
"84154","Assay of psa free"
"84155","Assay of protein serum"
"84160","Assay of protein any source"
"84270","Assay of sex hormone globul"
"84295","Assay of serum sodium"
"84402","Assay of testosterone"
"84630","Assay of zinc"
"84681","Assay of c-peptide"
"85045","Automated reticulocyte count"
"86022","Platelet antibodies"
"86255","Fluorescent antibody screen"
"86256","Fluorescent antibody titer"
"86644","CMV antibody"
"86645","Cmv antibody igm"
"86665","Epstein-barr antibody"
"86689","HTLV/HIV confirmatory test"
"86701","HIV-1"
"86703","Hiv-1/hiv-2 single result"
"86705","Hep b core antibody igm"
"86707","Hep be antibody"
"86709","Hep a antibody igm"
"86804","Hep c ab test confirm"
"86900","Blood typing abo"
"86901","Blood typing rh (d)"
"87015","Specimen concentration"
"87040","Blood culture for bacteria"
"87045","Feces culture bacteria"
"87046","Stool cultr bacteria each"
"87081","Culture screen only"
"87102","Fungus isolation culture"
"87103","Blood fungus culture"
"87106","Fungi identification yeast"
"87116","Mycobacteria culture"
"87147","Culture type immunologic"
"87153","Dna/rna sequencing"
"87185","Microbe susceptible enzyme"
"87205","Smear gram stain"
"87206","Smear fluorescent/acid stai"
"87324","Clostridium ag eia"
"87350","Hepatitis be ag eia"
"87450","Ag detect nos eia single"
"87493","C diff amplified probe"
"87522","Hepatitis c rna quant"
"89050","Body fluid cell count"
"89051","Body fluid cell count"
"85044","Manual reticulocyte count"
"78226","Hepatobiliary system imaging"
"11306","Shave skin lesion"
"57425","Laparoscopy surg colpopexy"
"58541","Lsh uterus 250 g or less"
"22552","Addl neck spine fusion"
"22632","Spine fusion extra segment"
"37224","Fem/popl revas w/tla"
"90703","Tetanus vaccine im"
"J1670","Tetanus immune globulin inj"
"J3300","Triamcinolone A inj PRS-free"
"G0246","Followup eval of foot pt lop"
"G0247","Routine footcare pt w lops"
"11765","Excision of nail fold toe"
"10120","Remove foreign body"
"11740","Drain blood from under nail"
"78205","Liver imaging (3D)"
"78320","Bone imaging (3D)"
"78645","CSF shunt evaluation"
"78709","K flow/funct image multiple"
"11046","Deb musc/fascia add-on"
"15004","Wound prep f/n/hf/g"
"11601","Exc tr-ext mal+marg 0.6-1 cm"
"95974","Cranial neurostim complex"
"85004","Automated diff wbc count"
"86376","Microsomal antibody"
"86780","Treponema pallidum"
"86800","Thyroglobulin antibody"
"87480","Candida dna dir probe"
"87491","Chylmd trach dna amp probe"
"87510","Gardner vag dna dir probe"
"87591","N.gonorrhoeae dna amp prob"
"87621","Hpv dna amp probe"
"87797","Detect agent nos dna dir"
"88155","Cytopath c/v index add-on"
"11600","Exc tr-ext mal+marg 0.5 < cm"
"17280","Destruction of skin lesions"
"95044","Allergy patch tests"
"74241","X-ray exam upper gi tract"
"0296T","Ext ecg recording"
