credential,n,cleaned_credential,source
"DNP, ARNP, ANP-BC",1,,
"DNP, CNS-BC",1,,
"DNP, FNP",1,,
"DNP, FNP-BC",1,,
"DNP, FNP-BC, ACNP-BC",1,,
"DNP, NP",1,,
"DNP, PMHMP-C, FNP-C",1,,
"DNP, PMHNP-BC",1,,
"DNP, PMHNP, PMHCNS",1,,
"DNP, RN, APRN-BC",1,,
"DNP, RN, CFNP",1,,
"DNP, RN, FNP-BC",1,,
"DNP,APN,FNP-BC,PMHNP",1,,
"DNP,FNPBC",1,,
DNP.ARNP,1,,
"DNSC, FNP-BC",1,,
DO A PROF,1,,
DO CMA,1,,
DO FACOFP,1,,
DO FACOS,1,,
DO FACP,1,,
DO MD,1,,
DO MS,1,,
DO PA,1,,
DO PHD,1,,
DO PHD FACC,1,,
"DO, FACEP",1,,
"DO, LLC",1,,
"DO, MBA",1,,
"DO, MHA",1,,
"DO, PA",1,,
"DO, PC",1,,
"DO, PHARMD",1,,
"DO,FACOOG.",1,,
"DO,MPH",1,,
"DO,MS",1,,
DOCTOR IN PHYSICAL T,1,,
DOCTOR OF OSTEOPATHY,1,,
DOCTOR OF PSYCHOLOGY,1,,
DOPM,1,,
DPH.,1,,
DPM CWS,1,,
DPM CWS FACFAOM,1,,
DPM FACFAS,1,,
DPM FACFO,1,,
DPM INC,1,,
DPM PA,1,,
DPM PHD,1,,
DPM PODIATRIST,1,,
DPM PT,1,,
"DPM, FACFAS, PT",1,,
"DPM, FACFS",1,,
"DPM, MSPH",1,,
"DPM, PA",1,,
"DPM, PHD",1,,
DPM.,1,,
"DPM.,FACFAS",1,,
DPM/PHD,1,,
DPM`,1,,
DPT CSCS,1,,
DPT ECS,1,,
DPT MFS,1,,
DPT MHS,1,,
DPT MSC PT OCS MTC,1,,
DPT MTC,1,,
DPT OCS OTR L,1,,
DPT PT,1,,
"DPT, ATC, CSCS",1,,
"DPT, BOCO",1,,
"DPT, DC",1,,
"DPT, ECS",1,,
"DPT, MBA, GCS, CSCS",1,,
"DPT, MPT",1,,
"DPT, MS",1,,
"DPT, MTC",1,,
"DPT, MTC, ATC",1,,
"DPT, OCS, CCCE",1,,
"DPT, OCS, CERT. MDT",1,,
"DPT, OCS, CHT",1,,
"DPT, PT, MHS, OCS",1,,
"DPT, RYT",1,,
"DPT, SCS, ATC",1,,
"DPT, STS",1,,
"DPT,ATC",1,,
"DPT,GCS,SCS",1,,
"DPT,MS,SCS",1,,
"DPT.,ATC",1,,
DPT/MS,1,,
DR OF CHIROPRACTIC,1,,
DR.  AUDIOLOGY,1,,
DR. (M.D.),1,,
DR. FNP,1,,
"DRPH, PA-C",1,,
DS,1,,
DSC,1,,
"DSN, RN, C, FNP",1,,
DSW,1,,
DSW DCSW LSCSW CADC,1,,
ED. D.,1,,
"ED.D, ABPP",1,,
"ED.D., CCHP",1,,
EDD LIC PSYCHOLOGIST,1,,
EDD LICENSED PSYCHOL,1,,
EDD MED DPD,1,,
EDD MSSW LCSW,1,,
"EDD, APN, CNS, PCC-S",1,,
"EDD, APRN, BC",1,,
"EDD, MS, ARNP-CRNA",1,,
EDD.,1,,
ENP MSN,1,,
"ERIC ORITT, PH.D.",1,,
F-NP,1,,
"F.N.P, ACNP",1,,
"F.N.P., N.D.",1,,
F.P.N.,1,,
"F.SC, M.D.,",1,,
FACEP MD,1,,
FAMILY NURSE PRACTIC,1,,
FAMILY PMHNP,1,,
FFARCS,1,,
FLP,1,,
FMPNP-BC,1,,
FNP - B.C.,1,,
FNP & PTA,1,,
FNP APRN,1,,
FNP APRN BC,1,,
FNP BC,1,,
FNP CRNP,1,,
FNP LPA ANP,1,,
FNP MSN,1,,
FNP- C,1,,
"FNP-BC, APN",1,,
"FNP-BC, NP-C",1,,
FNP-RX AUTH,1,,
"FNP, APNP",1,,
"FNP, B.C.",1,,
"FNP, CNM",1,,
"FNP, CS",1,,
"FNP, DNP",1,,
"FNP, LAC",1,,
"FNP, MPH",1,,
"FNP, MSN",1,,
"FNP, MSN, MPH, RN",1,,
"FNP, MSN, PHN, RN",1,,
"FNP, MSN, RN",1,,
"FNP, NPP",1,,
"FNP, PHD",1,,
"FNP, PMHNP",1,,
"FNP, PNP",1,,
"FNP, RNFA",1,,
FNP/C,1,,
FP,1,,
FP-C,1,,
FP-C APRN,1,,
FPMHNP-BC,1,,
FPMHNP-BC/LCSW,1,,
"FPMHNP, MSN",1,,
G.N.P,1,,
GNP C,1,,
"GNP-BC, PHD",1,,
GP,1,,
"H.D, LCSW-C",1,,
INTERNAL MEDICINE MD,1,,
ISW,1,,
"J.D., M.D.",1,,
"JEAN DRISCOLL,LCSW",1,,
L-MSW,1,,
L..C.S.W.,1,,
"L.AC, PT",1,,
L.C.S.W. (LICENSED C,1,,
L.C.S.W.-C.,1,,
L.C.S.W.-R,1,,
"L.C.S.W., B.C.D",1,,
"L.C.S.W., L.I.C.S.W.",1,,
L.CSW,1,,
"L.I.C.S.W., L.C.S.W.",1,,
L.M.H.C.,1,,
L.M.S.W,1,,
"L.P., R.P.T.",1,,
L.P.T,1,,
"L.S.C.S.W., L.C.S.W.",1,,
"L.S.C.S.W.,L.C.S.W,",1,,
LAC  PT  DPT,1,,
LAC PT,1,,
LCMSW MHP,1,,
LCSW    LADC,1,,
LCSW  DSW,1,,
LCSW  LMFT,1,,
LCSW - R,1,,
LCSW AC,1,,
LCSW BCD,1,,
LCSW CADC,1,,
LCSW DCSW,1,,
LCSW LIMHP,1,,
LCSW LMFT,1,,
LCSW LMHP,1,,
LCSW LMSW ACP,1,,
LCSW MSSW,1,,
"LCSW-C, LGSW",1,,
"LCSW-C, PH.D",1,,
LCSW-G,1,,
LCSW-P,1,,
"LCSW-R,GCP",1,,
"LCSW, ACADC",1,,
"LCSW, BCD",1,,
"LCSW, CADAC",1,,
"LCSW, CAP",1,,
"LCSW, CCGC",1,,
"LCSW, CRC",1,,
"LCSW, CSAC",1,,
"LCSW, CSOTP",1,,
"LCSW, LADC",1,,
"LCSW, LCAC, CADAC II",1,,
"LCSW, LMFT",1,,
"LCSW, LMSW",1,,
"LCSW, LPP",1,,
"LCSW, MFT",1,,
"LCSW, MSW, SAP,NBCCH",1,,
"LCSW, PH.D.",1,,
"LCSW, PHD",1,,
"LCSW, PPS",1,,
"LCSW,CAP",1,,
"LCSW,LMFT",1,,
"LCSW,SAP.,MSW",1,,
LCSW. LAT,1,,
LCSW/ BCD,1,,
LCSW/R,1,,
LCSWC CCDC,1,,
LCWS,1,,
LD,1,,
LIC SW,1,,
LICMSW,1,,
LICPSYCHOLOGIST PSYD,1,,
LICSW BCD,1,,
"LICSW, BCD",1,,
"LICSW, LADC I",1,,
"LICSW, MSW",1,,
"LICSW,MSW",1,,
LISW AP CP,1,,
"LISW-S, OCPS II",1,,
LISW-SUPV,1,,
LISW-W/BCD,1,,
"LISW, LICDC",1,,
"LISW, MSW",1,,
LLC,1,,
LLP LMSW,1,,
"LMFT, CNS",1,,
LMHC,1,,
LMSW CAADC,1,,
LMSW LISW CP,1,,
"LMSW, CAADC",1,,
"LMSW/ACP, LMFT",1,,
LMT DC,1,,
LOTR,1,,
LP LMFT,1,,
"LPCC, LISW",1,,
"LSCSW ,  LCSW",1,,
"LSCSW, LCMFT, ACSW",1,,
M .D.,1,,
M D  P C,1,,
M ED,1,,
M ED CCC/SLP,1,,
M PA C,1,,
M SC PHYSICAL THERAP,1,,
M-PT,1,,
"M,A,",1,,
"M,B,B,S",1,,
"M,D,, PHD",1,,
M.,1,,
M. A.,1,,
"M. A., P. T.",1,,
M. AUD. CCC-A,1,,
M. D. PHD,1,,
"M. D., MPH",1,,
"M. ED.,PT",1,,
"M.A, CCC-A",1,,
M.A. L.C.S.W. ED.D.,1,,
"M.A., C.C.C.A",1,,
"M.A., CCC-A, FAAA",1,,
"M.A., CCC/A",1,,
"M.A., CCCA, FAAA",1,,
"M.A., D.C.",1,,
"M.A., F.A.A.A.",1,,
"M.A., L.S.W.",1,,
"M.A., LCSW",1,,
"M.A., P.T., C.H.T",1,,
"M.A., PSY.D., L.P.",1,,
"M.A., RD,CDE",1,,
"M.A.,C.C.C.",1,,
"M.A.,CCC",1,,
"M.A.,CCC-A,FAAA",1,,
M.A>,1,,
"M.B,B.CH",1,,
"M.B.,B.S",1,,
M.B.B.CH,1,,
M.B.B.S. (M.D.),1,,
"M.B.B.S., PH.D",1,,
"M.B.B.S.,M.D",1,,
M.B.CH.B,1,,
M.B.CH.B.,1,,
"M.C.D., CCC/A",1,,
M.D  AND  INTERNIST,1,,
M.D D.O,1,,
"M.D,  MPH",1,,
"M.D, F.A.C.P.",1,,
"M.D, FACC",1,,
"M.D, M.H.S",1,,
"M.D, M.P.H.",1,,
"M.D, M.S, F.A.C.S.",1,,
"M.D, MPH",1,,
"M.D, P.H.D",1,,
"M.D, PH.D",1,,
"M.D, PH.D.",1,,
"M.D, PH.D. FACS",1,,
"M.D, PHD",1,,
"M.D,, M.B.B.S",1,,
"M.D,,PH.D.",1,,
"M.D,M.P.H",1,,
M.D;,1,,
M.D; FACRRM; D.C.N;,1,,
M.D;F.A.C.O.G,1,,
M.D.   F.A.C.S.,1,,
M.D.  F.A.C.S.,1,,
M.D.  M.B.A.,1,,
M.D.  MBA,1,,
M.D.  PA,1,,
"M.D. , DDS",1,,
"M.D. , F.A.C.P.",1,,
"M.D. , FACS",1,,
"M.D. , M. P. H.",1,,
"M.D. , MPH",1,,
M.D. & PH.D.,1,,
M.D. DTM&H,1,,
M.D. F.A.C.C.,1,,
M.D. F.A.C.O.G,1,,
M.D. F.A.C.P.,1,,
M.D. FACEP,1,,
M.D. FACOG,1,,
M.D. FACP,1,,
M.D. FACS,1,,
M.D. INC.,1,,
M.D. M.B.A.,1,,
M.D. M.P.H.,1,,
M.D. M.SC.,1,,
M.D. MBA,1,,
M.D. PH.D. M.S.,1,,
M.D. PH.D. PHARM.D.,1,,
M.D.-PHD.,1,,
"M.D.,  DABFP",1,,
"M.D., A.T. , C.",1,,
"M.D., B.S.",1,,
"M.D., C.M.",1,,
"M.D., C.M., P.C.",1,,
"M.D., CMD, FACP",1,,
"M.D., D.C.",1,,
"M.D., D.P.M.",1,,
"M.D., DABR",1,,
"M.D., DLFAPA",1,,
"M.D., F.A.A.D.",1,,
"M.D., F.A.A.F.P",1,,
"M.D., F.A.C.C",1,,
"M.D., F.A.C.R.",1,,
"M.D., F.A.C.S",1,,
"M.D., F.C.C.P",1,,
"M.D., F.R.C.S.",1,,
"M.D., F.R.C.S.(C),",1,,
"M.D., F.R.C.S.C.",1,,
"M.D., FAAD",1,,
"M.D., FAAFP",1,,
"M.D., FAAPMR",1,,
"M.D., FACE",1,,
"M.D., FACOS",1,,
"M.D., FACS, RVT",1,,
"M.D., FIPP",1,,
"M.D., FRCP",1,,
"M.D., FRCPC",1,,
"M.D., IN",1,,
"M.D., INC",1,,
"M.D., INC., P.S.",1,,
"M.D., M.A.",1,,
"M.D., M.B.A., M.P.H.",1,,
"M.D., M.B.B.S.",1,,
"M.D., M.H.A.",1,,
"M.D., M.P.A.",1,,
"M.D., M.P.H.&T.M.",1,,
"M.D., M.P.P",1,,
"M.D., M.S.P.H.",1,,
"M.D., M.S(MOL BIO)",1,,
"M.D., M.SC.",1,,
"M.D., M.SC., M.P.H.",1,,
"M.D., MA",1,,
"M.D., MBA, J.D.",1,,
"M.D., MBBS",1,,
"M.D., MRCS.,  FICS",1,,
"M.D., OD",1,,
"M.D., P.S.",1,,
"M.D., PC",1,,
"M.D., PH. D",1,,
"M.D., PH.D, DABPN",1,,
"M.D., PH.D., M.B.A.",1,,
"M.D., PHARM D.",1,,
"M.D., PSYCHIATRIST",1,,
"M.D., SC.D.",1,,
"M.D.,,M.B.A",1,,
"M.D.,C.M.D.",1,,
"M.D.,CMD",1,,
"M.D.,D.O.",1,,
"M.D.,D.P.M.",1,,
"M.D.,DPM",1,,
"M.D.,F.A.C.P.,F.A.S.",1,,
"M.D.,F.A.C.S",1,,
"M.D.,F.C.C.P.,P.A.",1,,
"M.D.,F.R.C.P.C.",1,,
"M.D.,FAAN",1,,
"M.D.,FACP,FCP,FACE",1,,
"M.D.,FACS,M.B.A.",1,,
"M.D.,M.A.",1,,
"M.D.,M.B.A.",1,,
"M.D.,M.R.C.,PSYCH.",1,,
"M.D.,MPH, TM",1,,
"M.D.,MSE,MPH",1,,
"M.D.,P.C.",1,,
"M.D.,PH.D",1,,
"M.D.,PHD",1,,
"M.D.,PHD,MPH",1,,
"M.D.,S.M.",1,,
M.D.;MPH,1,,
M.D.;PH.D.,1,,
M.D..F.A.C.P.,1,,
M.D..PHD,1,,
M.D.(P.C. INCORPORAT,1,,
M.D.& D.O.,1,,
M.D.A MEDICAL CORPOR,1,,
M.D.F.A.C.C.,1,,
M.D.F.A.C.S,1,,
M.D.L,1,,
M.D.P.A.F.A.C.S.,1,,
M.D.P.C.,1,,
M.DPHYSICIAN/SURGEON,1,,
M.E.,1,,
"M.ED,FAAA",1,,
"M.ED., CCC-A",1,,
"M.ED., RD, LDN",1,,
"M.H.S., PA-C",1,,
"M.M.SC., PA-C",1,,
"M.N., C.N.S., A.N.P.",1,,
M.O.T.,1,,
"M.O.T., OTR/L",1,,
M.P.,1,,
M.P.A-C,1,,
M.P.H.,1,,
M.P.T. OCS,1,,
"M.P.T., O.C.S.",1,,
M.S PA-C,1,,
"M.S. , CCC-A",1,,
M.S. B.C,1,,
M.S. D.C.,1,,
M.S. F-AAA,1,,
M.S. OTR/L,1,,
"M.S., A.P.R.N., B.C.",1,,
"M.S., A.R.N.P.",1,,
"M.S., AUDIOLOGY",1,,
"M.S., CF-SLP",1,,
"M.S., F-AAA",1,,
"M.S., FAAA",1,,
"M.S., FNP-BC",1,,
"M.S., M.D.",1,,
"M.S., OTR",1,,
"M.S., P.A.-C",1,,
"M.S., P.T., A.T.C.",1,,
"M.S., PA-C",1,,
"M.S., PH.D., D.MIN.",1,,
"M.S., PT, COMT",1,,
"M.S., R.D., C.D.E.",1,,
"M.S., R.D., C.D.N,",1,,
"M.S., R.N.",1,,
"M.S.,CCC-A, ABA",1,,
"M.S.,D.C.,P.C.",1,,
"M.S.N., F. N. P.",1,,
"M.S.N., R.N., N.P.",1,,
M.S.O.T.,1,,
M.S.P.T,1,,
"M.S.P.T., M.T.C.",1,,
M.S.PT,1,,
"M.S.W., L.S.W.",1,,
M/D.,1,,
M>D>,1,,
MA CCC-A,1,,
MA CCS SLP,1,,
MA CSW LLP CACI,1,,
MA LCSW,1,,
MA MSW LICSW,1,,
MA OTR,1,,
MA OTR L CHT,1,,
MA PT,1,,
MA-CCC-A,1,,
MA-CCCA,1,,
"MA, CCC/A",1,,
"MA, FAAA",1,,
"MA, LLP, LMSW",1,,
"MA, MS, CCC-SLP",1,,
"MA, OT, CHT",1,,
"MA, OTR, CHT",1,,
"MA, PT",1,,
"MA, PT, ATC, CSCS",1,,
"MA, PT, OCS",1,,
"MA, RNCNS",1,,
"MA,CCC-A",1,,
MA. CCC-A,1,,
MACCC-A,1,,
"MAED.,CCC-A",1,,
MALLP'LMSW,1,,
MAPC,1,,
MAPT,1,,
"MARIAN M. ORR, DO",1,,
MASTER OF PHYSICAL T,1,,
MASTER OF SCIENCE MS,1,,
MASTER'S DEGREE,1,,
MASTERS DEGREE,1,,
MB,1,,
MB BS MD,1,,
MB CHB,1,,
MB CHB. MRCS,1,,
"MB, FRCP",1,,
MB.CHB,1,,
MBA  MS OTR CHT,1,,
"MBBS (HONS), FRACP",1,,
MBBS MD PHD MRCP(UK),1,,
MBBS MPH,1,,
"MBBS, MD, ABIM.",1,,
"MBBS,MD,FRCR",1,,
"MBBS,MPH",1,,
"MBBS,MS,DNB",1,,
MBBS/M.D.,1,,
MBCHB,1,,
MCD,1,,
MD  ACP,1,,
MD  FACP,1,,
MD  MSCR,1,,
MD  PH.D.,1,,
MD  PLC,1,,
MD - LLC,1,,
MD (ENDOCRINOLOGIST),1,,
MD (MBBS),1,,
MD / MBBS,1,,
MD AODAC,1,,
MD DABPM DAAPM,1,,
MD DDS,1,,
MD DIPLOMATEABFP,1,,
MD DMD,1,,
MD ESP GYN OBS,1,,
MD F.A.C.O.G.,1,,
MD FAAD,1,,
MD FAAFP,1,,
MD FACC FACP,1,,
MD FACE,1,,
MD FRCP C FACP,1,,
MD FRCPC,1,,
MD FRCS(C) FACS FICS,1,,
MD FRCSC,1,,
MD GENERAL SURGEON,1,,
MD INST,1,,
MD LTD,1,,
MD MA CCD FACE CDE,1,,
MD MBBCH,1,,
MD ME PHD MA,1,,
MD MPH PHD,1,,
MD MS,1,,
MD MSC,1,,
MD MSC FACC,1,,
MD OPHTHALMOLOGIST,1,,
MD P C,1,,
MD PH.D,1,,
MD PHD FAAP,1,,
MD PHD FACP,1,,
MD PS,1,,
MD PSYCHIATRY,1,,
MD SC,1,,
MD SCD,1,,
MD-PHD,1,,
"MD, CM",1,,
"MD, DC",1,,
"MD, DDS, FACS",1,,
"MD, F.A.C.E.",1,,
"MD, FAAFP",1,,
"MD, FAAN, FAHA, CIME",1,,
"MD, FAAP",1,,
"MD, FAAPMR",1,,
"MD, FACC, FASE",1,,
"MD, FACOG",1,,
"MD, FACP, DR.PH.",1,,
"MD, FACP, GAQ",1,,
"MD, FACS, RVT",1,,
"MD, FCCP",1,,
"MD, FCCP, MS",1,,
"MD, FICS",1,,
"MD, FS",1,,
"MD, JD",1,,
"MD, JD, MBA",1,,
"MD, LLC.",1,,
"MD, M.P.H",1,,
"MD, MA, PHD",1,,
"MD, MDIV",1,,
"MD, MED",1,,
"MD, MHA",1,,
"MD, MMM",1,,
"MD, MPA",1,,
"MD, MPH, FACC",1,,
"MD, MPH, M.A.",1,,
"MD, MPH, SFHM",1,,
"MD, MPM",1,,
"MD, MPP",1,,
"MD, MS, FACEP",1,,
"MD, MS, MPH",1,,
"MD, MSPH, CMD",1,,
"MD, PH. D",1,,
"MD, PHARM D",1,,
"MD, PHD, FACC",1,,
"MD, PHD, FACP",1,,
"MD, PHD.",1,,
"MD, PHD. MPH",1,,
"MD, PLLC",1,,
"MD, PT",1,,
"MD, RPH",1,,
"MD,, P.C.",1,,
"MD,AAFP",1,,
"MD,CM,FACS,CIME",1,,
"MD,DMD",1,,
"MD,FACC",1,,
"MD,FACP",1,,
"MD,FACP,FACG,AGAF",1,,
"MD,FACP,FASN",1,,
"MD,MBA",1,,
"MD,MBA,FACP",1,,
"MD,MFA,PHD",1,,
"MD,MMM",1,,
"MD,MPH,MA",1,,
"MD,RPT",1,,
"MD., DABPM., FIPP.",1,,
"MD., MPH",1,,
"MD., MS.",1,,
"MD.,CM",1,,
MD.FACS,1,,
MD.PA,1,,
MDFAC,1,,
MDP,1,,
MED,1,,
MED FAAA,1,,
MED-CCCA,1,,
MEDICINE DOCTOR,1,,
MEDUAL DOCTOR,1,,
"MHS, OTR/L, CLT-LANA",1,,
MID LEVEL NURSE PRAC,1,,
MLSW,1,,
"MMS, PA",1,,
"MMS, PA-C",1,,
MN,1,,
"MN,RN, CANP",1,,
"MNSC, FNP",1,,
MNT,1,,
"MOT, OTR",1,,
"MOT, OTR/L, CHT",1,,
"MOT,OTR/L",1,,
MOTR/L,1,,
MPA,1,,
MPA-C,1,,
"MPA, MD",1,,
"MPA, PA-C",1,,
MPAC,1,,
MPAS,1,,
MPAS    RPA-C,1,,
MPAS PAC,1,,
"MPH, PA-C",1,,
MPST,1,,
MPT AT,1,,
MPT ATC,1,,
MPT CSCS,1,,
MPT OCS,1,,
MPT PT,1,,
"MPT, ATP",1,,
"MPT, CS, CS",1,,
"MPT, DPT,  ATC",1,,
"MPT, DPT, COMT",1,,
"MPT, DPT,CSCS",1,,
"MPT, LOTR",1,,
"MPT, MBA",1,,
"MPT, MS",1,,
"MPT, MSA",1,,
"MPT, OCS, CHT",1,,
"MPT,ATC",1,,
MPT; CERT. MDT,1,,
MS  FNP,1,,
MS  PA,1,,
MS APN BC,1,,
MS APRN BC,1,,
MS CCA,1,,
MS CCA AUD,1,,
MS CCCA FAAA,1,,
MS CRNA,1,,
MS DC,1,,
MS DDS,1,,
MS DO,1,,
MS DPT OCS,1,,
MS FAAA,1,,
MS MDT SCMT,1,,
MS MPT,1,,
MS OTR CHT,1,,
MS PT LAC,1,,
MS PT OCS ATCL,1,,
MS PT OCS CSCS,1,,
"MS PT, DPT",1,,
MS RD CDE,1,,
MS RD CDE LDN,1,,
MS RD LDN,1,,
MS RN ACNP,1,,
MS RPT,1,,
MS-FNP,1,,
MS-PAC,1,,
MS-PT,1,,
"MS, ANP, PNP",1,,
"MS, APNP",1,,
"MS, APRN",1,,
"MS, APRN, BS",1,,
"MS, ARNP",1,,
"MS, ARNP, CNS",1,,
"MS, CCC-A; F/AAA",1,,
"MS, CCC-SLP",1,,
"MS, CCC/SLP",1,,
"MS, CCCA",1,,
"MS, CNM",1,,
"MS, CNS",1,,
"MS, CRNP",1,,
"MS, CSW",1,,
"MS, FNP",1,,
"MS, FNP-C, RN",1,,
"MS, LMSW, LPC",1,,
"MS, MPAS, PA-C",1,,
"MS, MPH, APRN, BC",1,,
"MS, MS, CCC-SLP/A",1,,
"MS, NP",1,,
"MS, OTR L",1,,
"MS, OTR, CHT",1,,
"MS, OTRL, CHT",1,,
"MS, PA-C, ATC",1,,
"MS, PA-C, DFAAPA",1,,
"MS, PAC",1,,
"MS, PT, ATC",1,,
"MS, PT, ATC, CSCS",1,,
"MS, PT, CSCS",1,,
"MS, PT, DPT",1,,
"MS, PT, SCS",1,,
"MS, RD",1,,
"MS, RD, BC-ADM, CDE",1,,
"MS, RD, CD, LD",1,,
"MS, RD, CDE",1,,
"MS, RD, CDN, CDE",1,,
"MS, RD, LD, CDE",1,,
"MS, RD, LDN",1,,
"MS, RD, LN",1,,
"MS, RD/LD",1,,
"MS, RN, ACNP-BC",1,,
"MS, RN, ANP, GNP",1,,
"MS, RN, CNN, FNP-C",1,,
"MS, RN, CNP",1,,
"MS, RN, FNP-C",1,,
"MS, RNC",1,,
"MS, RPA - C",1,,
"MS,ARNP-C",1,,
"MS,ATC,PT,CCRP",1,,
"MS,CCC,SLP",1,,
"MS,CNP",1,,
"MS,NPP,RN",1,,
"MS,RD, CDN",1,,
"MS,RD,LD",1,,
"MS,RD,LDN,FADA,CDE",1,,
"MS,RN,PMHCNS-BC",1,,
MS.PT,1,,
"MSBS, PA-C",1,,
MSC CCC A,1,,
MSCCCSLP,1,,
MSED RD CDN CDE,1,,
"MSED, MSW, LCSW",1,,
MSN ACNP BC,1,,
MSN ANP BC,1,,
MSN APN RN,1,,
MSN ARNP,1,,
MSN BC FNF,1,,
MSN CNP,1,,
MSN CS,1,,
MSN NP,1,,
MSN NP NURSE PRACTIO,1,,
MSN RN APRN,1,,
MSN RN CNS,1,,
MSN RN CS,1,,
MSN-ARNP,1,,
MSN-CNP,1,,
MSN-NPC,1,,
"MSN,  APNP",1,,
"MSN, ACNP",1,,
"MSN, ACNP - BS",1,,
"MSN, ACNP-BC, WCS",1,,
"MSN, ANP-BC",1,,
"MSN, APN",1,,
"MSN, APN-C",1,,
"MSN, APN, ACNP-BC",1,,
"MSN, APRN",1,,
"MSN, APRN, ANP-C",1,,
"MSN, ARNP-C",1,,
"MSN, ARNP, FNP",1,,
"MSN, ARNP, FNP-BC",1,,
"MSN, ARNP, GNP-BC",1,,
"MSN, BC-ACNS, CDE",1,,
"MSN, BSN, CRNA, RN",1,,
"MSN, C-ANP, CDE",1,,
"MSN, C-FNP, CDE",1,,
"MSN, CCRN, CAN, BC",1,,
"MSN, CFNP",1,,
"MSN, CNS",1,,
"MSN, CNS, APN",1,,
"MSN, CRNP CS",1,,
"MSN, CRNP, FNP-BC",1,,
"MSN, CRNP, MPH,",1,,
"MSN, CRNP, NP-C",1,,
"MSN, FNP-BC, CDE",1,,
"MSN, FNP, APN",1,,
"MSN, FNP, APRN-BC",1,,
"MSN, NP-C, ARNP",1,,
"MSN, RN APN",1,,
"MSN, RN CS",1,,
"MSN, RN, ACNP",1,,
"MSN, RN, CFNP",1,,
"MSN, RN, CNS",1,,
"MSN, RN, CNS, FNP",1,,
"MSN, RN, FNP-BC,CDE",1,,
"MSN, RN, MPH, BA",1,,
"MSN, RN, PMHNP",1,,
"MSN,ANP-BC,PMHNP-BC",1,,
"MSN,APN,FNP",1,,
"MSN,APRN,BC",1,,
"MSN,APRN,BC,ANP,GNP",1,,
"MSN,ARNP-BC",1,,
"MSN,ARNP-C",1,,
"MSN,CFNP",1,,
"MSN,FNP-C",1,,
"MSN,NP-C,APNP",1,,
"MSN,NP,CRRN",1,,
"MSN,RN,CS,FNP,INC",1,,
"MSN,RN,FNP-BC,OCN",1,,
"MSNA, CRNA",1,,
MSPA-C,1,,
"MSPA,CCC-A",1,,
MSPT CERT MDT,1,,
MSPT PHYSICAL THERAP,1,,
"MSPT, ATC, CSCS",1,,
"MSPT, CEIS",1,,
"MSPT, CERT. MDT",1,,
"MSPT, CIMT",1,,
"MSPT, CLT",1,,
"MSPT, DPT",1,,
"MSPT, LATC",1,,
"MSPT, MDT",1,,
"MSPT, OCS",1,,
"MSPT, PA-C",1,,
"MSPT, RD",1,,
"MSPT,JD",1,,
"MSPT,LMT",1,,
MSR PT,1,,
"MSR, PT",1,,
MSRD,1,,
"MSRD,C.D.E., L.D.",1,,
"MSRN, FNP-C",1,,
MSRNBC,1,,
"MSS,LCSW",1,,
MSSW    LCSW,1,,
MSSW  LCSW,1,,
MSSW LCSW,1,,
MSSW/LICSW,1,,
MSW ACSW LCSW,1,,
MSW DO,1,,
MSW LCSW C CT,1,,
MSW LCSW LGSW,1,,
MSW LCSWC,1,,
MSW LICENSED CERTIFI,1,,
MSW LISW DCSW,1,,
MSW-LCSW,1,,
"MSW,  LCSW",1,,
"MSW, ACSW",1,,
"MSW, ACSW, LCSW",1,,
"MSW, CAC II",1,,
"MSW, LCSW SAP",1,,
"MSW, LCSW-C",1,,
"MSW, LCSW, CADC",1,,
"MSW, LGSW",1,,
"MSW, LISW, ACADC",1,,
"MSW, LMSW",1,,
"MSW, LMSW, LCSW",1,,
"MSW, M.ED., PH.D.",1,,
"MSW, P-LCSW",1,,
"MSW, P-LCSW, LCAS,",1,,
"MSW,LMSW",1,,
MSW/LISW,1,,
MT,1,,
"MT. PA-C, MPAS",1,,
"MT(ASCP), RN, PA-C",1,,
"MTS, LICSW",1,,
"N.P. , R.F.N.A.",1,,
N.P.-C.,1,,
ND,1,,
NEUROLOGY,1,,
NP AFRN BC,1,,
NP C,1,,
NP MSN,1,,
NP PA,1,,
NP PCNP FNP C,1,,
"NP-C, ADULT&GERO NP",1,,
"NP-C, ARNP",1,,
"NP-C, CWOCN",1,,
"NP-C, MSN, ARNP, FNP",1,,
NP-P,1,,
"NP, APN",1,,
"NP, CNS",1,,
"NP, PAC, MSN",1,,
"NP, PH.D",1,,
"NP, PHD",1,,
"NP, PHD, LPC",1,,
"NP, RN, MSN",1,,
"NP, WOUND CARE SPEC",1,,
"NP,CDE,BC-ADM",1,,
NP/CNS,1,,
NPC,1,,
NURSE ANESTHETIST,1,,
NURSE PRACITIONER,1,,
NURSE PRACTI,1,,
NURSE PRACTICIONER,1,,
NURSE PRACTIONER,1,,
NURSE PRACTITIONER F,1,,
NUTRITIONIST,1,,
"O,D.",1,,
"O.D, P.C",1,,
"O.D,P.C.",1,,
O.D. CN,1,,
O.D. FCOVD,1,,
O.D. PA,1,,
O.D. PHD.,1,,
"O.D., .",1,,
"O.D., FCOVD",1,,
"O.D., M.P.H.",1,,
"O.D., M.S., F.A.A.O",1,,
"O.D., M.S., FAAO",1,,
"O.D., MPH",1,,
"O.D., P.S.C.",1,,
"O.D., PH.D.",1,,
"O.D., PSC",1,,
