type,count,newType,generalType
HIGH WINDS HEAVY RAINS,1,NA,
HIGH WINDS DUST STORM,1,NA,
HIGH WINDS AND WIND CHILL,1,NA,
HIGH WINDS 82,1,NA,
HIGH WINDS 76,1,NA,
HIGH WINDS 73,1,NA,
HIGH WINDS 67,1,NA,
HIGH WINDS 58,1,NA,
HIGH WINDS 57,1,NA,
HIGH WINDS 55,1,NA,
HIGH WIND/WIND CHILL/BLIZZARD,1,NA,
HIGH WIND/WIND CHILL,1,NA,
HIGH WIND/SEAS,1,NA,
HIGH WIND/LOW WIND CHILL,1,NA,
HIGH WIND/BLIZZARD/FREEZING RA,1,NA,
HIGH WIND/ BLIZZARD,1,NA,
HIGH WIND AND SEAS,1,NA,
HIGH WIND AND HEAVY SNOW,1,NA,
HIGH WIND 70,1,NA,
HIGH WIND 63,1,NA,
HIGH WIND 48,1,NA,
HIGH SURF ADVISORIES,1,NA,
HIGH  WINDS,1,NA,
HIGH  SWELLS,1,NA,
HIGH,1,NA,
HEAVY WET SNOW,1,NA,
HEAVY SWELLS,1,NA,
HEAVY SURF COASTAL FLOODING,1,NA,
Heavy surf and wind,1,NA,
HEAVY SNOWPACK,1,NA,
HEAVY SNOW/WINTER STORM,1,NA,
HEAVY SNOW/WIND,1,NA,
HEAVY SNOW/SLEET,1,NA,
HEAVY SNOW/HIGH WINDS/FREEZING,1,NA,
HEAVY SNOW/HIGH WINDS & FLOOD,1,NA,
HEAVY SNOW/HIGH WINDS,1,NA,
HEAVY SNOW/HIGH WIND,1,NA,
HEAVY SNOW/HIGH,1,NA,
HEAVY SNOW/BLOWING SNOW,1,NA,
HEAVY SNOW/BLIZZARD/AVALANCHE,1,NA,
Heavy snow shower,1,NA,
HEAVY SNOW ANDBLOWING SNOW,1,NA,
HEAVY SNOW AND STRONG WINDS,1,NA,
HEAVY SNOW AND,1,NA,
HEAVY SNOW & ICE,1,NA,
HEAVY SNOW   FREEZING RAIN,1,NA,
HEAVY SHOWERS,1,NA,
HEAVY RAIN/URBAN FLOOD,1,NA,
HEAVY RAIN/SNOW,1,NA,
HEAVY RAIN/SMALL STREAM URBAN,1,NA,
HEAVY RAIN/MUDSLIDES/FLOOD,1,NA,
HEAVY RAIN/LIGHTNING,1,NA,
Heavy Rain/High Surf,1,NA,
HEAVY RAIN; URBAN FLOOD WINDS;,1,NA,
HEAVY RAIN EFFECTS,1,NA,
HEAVY RAIN AND FLOOD,1,NA,
HEAVY PRECIPITATION,1,NA,
HEAVY PRECIPATATION,1,NA,
Heatburst,1,NA,
HEAT/DROUGHT,1,NA,
HEAT WAVE DROUGHT,1,NA,
Heat Wave,1,NA,
HEAT DROUGHT,1,NA,
HAZARDOUS SURF,1,NA,
HAILSTORMS,1,NA,
HAIL/ICY ROADS,1,NA,
Hail(0.75),1,NA,
HAIL STORM,1,NA,
HAIL FLOODING,1,NA,
HAIL ALOFT,1,NA,
HAIL 88,1,NA,
HAIL 450,1,NA,
HAIL 225,1,NA,
HAIL 200,1,NA,
HAIL 125,1,NA,
HAIL 1.75),1,NA,
HAIL 088,1,NA,
HAIL 075,1,NA,
HAIL 0.88,1,NA,
Gusty wind/rain,1,NA,
GUSTY WIND/HVY RAIN,1,NA,
GUSTY WIND/HAIL,1,NA,
Gusty Wind,1,NA,
GUSTY LAKE WIND,1,NA,
GUSTNADO AND,1,NA,
GRASS FIRES,1,NA,
GLAZE/ICE STORM,1,NA,
FUNNELS,1,NA,
FUNNEL CLOUD/HAIL,1,NA,
FUNNEL CLOUD.,1,NA,
FROST\FREEZE,1,NA,
Frost/Freeze,1,NA,
Freezing Spray,1,NA,
FREEZING RAIN SLEET AND LIGHT,1,NA,
FREEZING RAIN SLEET AND,1,NA,
FREEZING RAIN AND SNOW,1,NA,
Freezing Fog,1,NA,
FREEZING DRIZZLE AND FREEZING,1,NA,
Freezing drizzle,1,NA,
FOREST FIRES,1,NA,
FOG AND COLD TEMPERATURES,1,NA,
FLOODING/HEAVY RAIN,1,NA,
Flood/Strong Wind,1,NA,
FLOOD/RIVER FLOOD,1,NA,
FLOOD/RAIN/WIND,1,NA,
FLOOD/FLASHFLOOD,1,NA,
FLOOD/FLASH/FLOOD,1,NA,
Flood/Flash Flood,1,NA,
FLOOD WATCH/,1,NA,
FLOOD FLOOD/FLASH,1,NA,
Flood,1,NA,
FLASH FLOOODING,1,NA,
FLASH FLOODING/THUNDERSTORM WI,1,NA,
FLASH FLOOD/LANDSLIDE,1,NA,
FLASH FLOOD/HEAVY RAIN,1,NA,
FLASH FLOOD/ STREET,1,NA,
FLASH FLOOD/,1,NA,
FLASH FLOOD WINDS,1,NA,
FLASH FLOOD LANDSLIDES,1,NA,
FIRST FROST,1,NA,
EXTREMELY WET,1,NA,
EXTREME WIND CHILLS,1,NA,
EXTREME WIND CHILL/BLOWING SNO,1,NA,
Extended Cold,1,NA,
EXCESSIVELY DRY,1,NA,
EXCESSIVE WETNESS,1,NA,
EXCESSIVE PRECIPITATION,1,NA,
EXCESSIVE HEAT/DROUGHT,1,NA,
EXCESSIVE,1,NA,
EARLY RAIN,1,NA,
EARLY FROST,1,NA,
Early Frost,1,NA,
EARLY FREEZE,1,NA,
DUSTSTORM,1,NA,
DUST STORM/HIGH WINDS,1,NA,
DUST DEVIL WATERSPOUT,1,NA,
DUST DEVEL,1,NA,
DRYNESS,1,NA,
DRY PATTERN,1,NA,
DRY MIRCOBURST WINDS,1,NA,
DRY MICROBURST 84,1,NA,
DRY MICROBURST 61,1,NA,
DRY MICROBURST 53,1,NA,
DRY MICROBURST 50,1,NA,
DRY HOT WEATHER,1,NA,
DROWNING,1,NA,
Drifting Snow,1,NA,
DRIEST MONTH,1,NA,
DEEP HAIL,1,NA,
DAM FAILURE,1,NA,
COOL SPELL,1,NA,
COOL AND WET,1,NA,
COLD/WINDS,1,NA,
COLD AND WET CONDITIONS,1,NA,
COLD AND SNOW,1,NA,
COLD AND FROST,1,NA,
COLD AIR TORNADO,1,NA,
COASTALSTORM,1,NA,
COASTALFLOOD,1,NA,
COASTAL EROSION,1,NA,
COASTAL  FLOODING/EROSION,1,NA,
BRUSH FIRES,1,NA,
BREAKUP FLOODING,1,NA,
BLOWING SNOW/EXTREME WIND CHIL,1,NA,
BLOWING SNOW- EXTREME WIND CHI,1,NA,
BLOW-OUT TIDES,1,NA,
BLOW-OUT TIDE,1,NA,
BLIZZARD/WINTER STORM,1,NA,
BLIZZARD/HIGH WIND,1,NA,
BLIZZARD/FREEZING RAIN,1,NA,
BLIZZARD WEATHER,1,NA,
Blizzard Summary,1,NA,
BLIZZARD AND HEAVY SNOW,1,NA,
BITTER WIND CHILL,1,NA,
BEACH EROSION/COASTAL FLOOD,1,NA,
Beach Erosion,1,NA,
BEACH EROSIN,1,NA,
AVALANCE,1,NA,
APACHE COUNTY,1,NA,
ABNORMALLY WET,1,NA,
?,1,NA,
 WIND,1,wind,
 WATERSPOUT,1,tornado,
 TSTM WIND (G45),1,thunderstorm-wind,
 LIGHTNING,1,NA,
 FLASH FLOOD,1,flood,
 COASTAL FLOOD,1,flood,
   HIGH SURF ADVISORY,1,NA,
